SEXO;IDADE;DIA_MES;DIA_SEMANA;HORA_RETIRADA;TEMPO_TOTAL;ENDERECO_RETIRADA;LATITUDE;LONGITUDE
1;24;3;1;15;49;CLN 403;-15.7797898;-47.8782012
0;28;3;1;16;49;CLN 403;-15.7797898;-47.8782012
0;20;3;1;16;49;SHS, QD. 06;-15.7926277;-47.8957922
1;36;3;1;17;49;SHS, QD. 06;-15.7926277;-47.8957922
0;23;3;1;18;49;UNB áre 2, em frente o cesso o Centro Olímpico;-15.7533247;-47.8894441
1;25;3;1;18;49;UNB áre 2, em frente o cesso o Centro Olímpico;-15.7533247;-47.8894441
1;41;3;1;19;49;EQS 102 / 103;-15.8046388;-47.8929846
0;35;4;2;15;49;SDC, Lote 5, Vi de Ligção N1/S1;-15.7898915;-47.8967584
1;20;4;2;15;49;SS, EQ 2/3;-15.8105561;-47.9909422
1;23;4;2;16;49;Entrequadra Sul 204/205;-15.8122671;-47.8943173
1;25;4;2;16;49;Entrequadra Sul 204/205;-15.8122671;-47.8943173
1;18;4;2;16;49;Entrequdr 408/409 / Próximo o Supermercdo Big Box;-15.7594716;-47.8807764
0;19;4;2;16;49;Entrequdr 408/409 / Próximo o Supermercdo Big Box;-15.7594716;-47.8807764
0;58;5;3;6;49;SHS, QD. 06;-15.7926277;-47.8957922
1;24;5;3;10;49;CLN 403;-15.7797898;-47.8782012
1;25;5;3;11;49;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
1;42;5;3;13;49;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
1;26;6;4;11;49;SDC, Lote 5, Vi de Ligção N1/S1;-15.7898915;-47.8967584
1;33;6;4;13;49;Entrequadra Sul 204/205;-15.8122671;-47.8943173
1;28;6;4;17;49;SBS, QD. 3/4;-15.8026711;-47.8838398
1;30;6;4;18;49;SBS, QD. 3/4;-15.8026711;-47.8838398
0;22;7;5;10;49;Eixo Monumentl Ldo Oeste, SDC, Estcionmento Vi de Ligção S1/N1;-15.7879172;-47.9028855
0;22;7;5;10;49;Eixo Monumentl Ldo Oeste, SDC, Estcionmento Vi de Ligção S1/N1;-15.7879172;-47.9028855
1;22;7;5;12;49;UNB áre 1, em frente o Instituto de rtes;-15.7622276;-47.8742526
1;40;7;5;12;49;CLS 302;-15.800788;-47.8936363
1;40;7;5;12;49;CLS 302;-15.800788;-47.8936363
0;28;7;5;12;49;SRTVS;-15.7974902;-47.8963643
1;26;7;5;17;49;SHS, QD. 06;-15.7926277;-47.8957922
1;28;8;6;10;49;CLN 403;-15.7797898;-47.8782012
0;21;8;6;12;49;UNB áre 2, em frente o cesso o Centro Olímpico;-15.7533247;-47.8894441
1;49;8;6;14;49;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
0;7;8;6;18;49;Entrequdr 408/409 / Próximo o Supermercdo Big Box;-15.7594716;-47.8807764
1;29;8;6;21;49;SQS 305;-15.8085221;-47.899365
1;31;8;6;22;49;Entrequdr 408/409 / Próximo o Supermercdo Big Box;-15.7594716;-47.8807764
1;38;9;7;10;49;CLN 204;-15.7766872;-47.8793288
0;19;9;7;10;49;Eixo Monumentl Ldo Oeste, SDC, Estcionmento Vi de Ligção S1/N1;-15.7879172;-47.9028855
0;19;9;7;10;49;Eixo Monumentl Ldo Oeste, SDC, Estcionmento Vi de Ligção S1/N1;-15.7879172;-47.9028855
1;68;9;7;11;49;EQS 104/304;-15.8071039;-47.8971485
0;19;9;7;13;49;SRTVS;-15.7974902;-47.8963643
1;21;9;7;13;49;SRTVS;-15.7974902;-47.8963643
0;28;9;7;13;49;SQS 305;-15.8085221;-47.899365
1;28;9;7;14;49;SRTVS;-15.7974902;-47.8963643
0;29;9;7;19;49;SHS, QD. 06;-15.7926277;-47.8957922
1;22;9;7;22;49;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
0;56;10;1;10;49;EMI, Vi N1, Blocos N/O;-15.7895048;-47.8907765
1;28;10;1;11;49;EQN 104/105;-15.7741697;-47.8838873
1;37;10;1;12;49;SHS, QD. 06;-15.7926277;-47.8957922
1;39;10;1;13;49;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
1;38;10;1;13;49;SHS, QD. 06;-15.7926277;-47.8957922
1;33;10;1;16;49;EQS 104/304;-15.8071039;-47.8971485
0;42;10;1;16;49;SHS, QD. 06;-15.7926277;-47.8957922
1;20;10;1;17;49;Entrequdr 408/409 / Próximo o Supermercdo Big Box;-15.7594716;-47.8807764
1;25;11;2;10;49;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
1;68;11;2;11;49;EQS 104/304;-15.8071039;-47.8971485
1;32;11;2;16;49;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
0;44;12;3;8;49;EQS 104/304;-15.8071039;-47.8971485
0;35;12;3;9;49;SRTVS;-15.7974902;-47.8963643
0;28;12;3;9;49;SRTVS;-15.7974902;-47.8963643
0;36;12;3;9;49;SRTVS;-15.7974902;-47.8963643
1;28;12;3;12;49;UNB áre 1, em frente  Bibliotec Centrl - BCE;-15.7609071;-47.8699691
1;26;12;3;13;49;SBS, QD. 3/4;-15.8026711;-47.8838398
1;28;12;3;17;49;Eixo Monumentl Ldo Oeste, Estcionmento Vi S1, em frente o TJDF;-15.7863445;-47.9088556
0;37;12;3;18;49;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
0;24;12;3;19;49;SHS, QD. 06;-15.7926277;-47.8957922
1;37;13;4;12;49;EMI, Vi N1, Blocos N/O;-15.7895048;-47.8907765
1;70;13;4;16;49;SRTVS;-15.7974902;-47.8963643
1;40;13;4;16;49;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
0;27;13;4;19;49;SS, EQ 2/3;-15.8105561;-47.9909422
1;23;14;5;8;49;Entrequadra Sul 204/205;-15.8122671;-47.8943173
0;28;14;5;12;49;SQS 305;-15.8085221;-47.899365
1;33;14;5;17;49;EMI BL G;-15.7629208;-47.8876142
1;20;14;5;18;49;SDC, Lote 5, Vi de Ligção N1/S1;-15.7898915;-47.8967584
0;25;14;5;20;49;SHS, QD. 06;-15.7926277;-47.8957922
0;27;15;6;10;49;UNB áre 1, em frente o ICC - Instituto Centrl de Ciênci l Sul;-15.7629679;-47.8722933
0;20;15;6;10;49;SCN, QD. 02;-15.7972492;-47.8987101
0;47;15;6;12;49;SQS 305;-15.8085221;-47.899365
1;20;15;6;14;49;EMI BL K;-15.7968694;-47.8754027
0;25;15;6;18;49;SHS, QD. 06;-15.7926277;-47.8957922
1;49;15;6;19;49;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
1;37;16;7;10;49;Eixo Monumentl Ldo Oeste, Estcionmento Vi S1, em frente o TJDF;-15.7863445;-47.9088556
1;23;16;7;12;49;SHS, QD. 06;-15.7926277;-47.8957922
1;34;16;7;17;49;SHS, QD. 06;-15.7926277;-47.8957922
1;36;16;7;18;49;Entrequadra Sul 204/205;-15.8122671;-47.8943173
0;28;17;1;9;49;Entrequdr 408/409 / Próximo o Supermercdo Big Box;-15.7594716;-47.8807764
1;24;17;1;14;49;Entrequadra Sul 204/205;-15.8122671;-47.8943173
0;27;17;1;15;49;CLN 204;-15.7766872;-47.8793288
1;24;18;2;12;49;UNB áre 1, em frente  Bibliotec Centrl - BCE;-15.7609071;-47.8699691
0;23;19;3;12;49;SHS, QD. 06;-15.7926277;-47.8957922
1;25;19;3;17;49;UNB áre 1, em frente o PT (Pvilhão nísio Teixeir);-15.7595709;-47.8705354
0;21;19;3;22;49;SCS, QD. 03;-15.7972752;-47.892144
1;29;20;4;17;49;PMU, Eixo Monumentl Ldo Oeste, Prç do Cruzeiro;-15.783907;-47.9164933
1;31;20;4;18;49;EQS 102 / 103;-15.8046388;-47.8929846
1;45;21;5;6;49;SRTVS;-15.7974902;-47.8963643
0;23;21;5;8;49;St. de dministrção Federl Sul Q8 Lote 1;-15.802729;-47.9273005
0;28;22;6;8;49;SQS 305;-15.8085221;-47.899365
1;26;23;7;12;49;SHS, QD. 06;-15.7926277;-47.8957922
0;27;23;7;12;49;SHS, QD. 06;-15.7926277;-47.8957922
0;25;24;1;8;49;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
0;34;24;1;8;49;Entrequadra Sul 204/205;-15.8122671;-47.8943173
1;37;24;1;8;49;PMU, Eixo Monumentl Ldo Oeste, Prç do Cruzeiro;-15.783907;-47.9164933
1;37;24;1;8;49;PMU, Eixo Monumentl Ldo Oeste, Prç do Cruzeiro;-15.783907;-47.9164933
1;22;24;1;9;49;SHS, QD. 06;-15.7926277;-47.8957922
0;8;24;1;10;49;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
0;8;24;1;10;49;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
1;48;24;1;11;49;SHS, QD. 06;-15.7926277;-47.8957922
1;31;24;1;11;49;SQN 205;-15.7722474;-47.8804341
1;22;24;1;12;49;CLN 403;-15.7797898;-47.8782012
1;24;24;1;14;49;CLN 406;-15.766622;-47.8801483
1;41;24;1;14;49;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
1;28;24;1;17;49;SHS, QD. 06;-15.7926277;-47.8957922
0;36;24;1;17;49;SQS 305;-15.8085221;-47.899365
1;36;24;1;19;49;Eixo Monumentl Ldo Oeste, Estcionmento Vi S1, em frente o TJDF;-15.7863445;-47.9088556
1;34;25;2;8;49;SHS, QD. 06;-15.7926277;-47.8957922
1;27;25;2;8;49;SHS, QD. 06;-15.7926277;-47.8957922
0;38;25;2;11;49;SQS 305;-15.8085221;-47.899365
0;27;25;2;17;49;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
0;22;25;2;19;49;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
0;25;25;2;20;49;SHS, QD. 06;-15.7926277;-47.8957922
1;49;26;3;19;49;Eixo Monumentl Ldo Oeste, Estcionmento Vi S1, em frente o TJDF;-15.7863445;-47.9088556
1;24;27;4;11;49;Entrequadra Sul 204/205;-15.8122671;-47.8943173
1;24;27;4;13;49;UNB áre 1, em frente o Instituto de rtes;-15.7622276;-47.8742526
1;26;27;4;15;49;CLN 204;-15.7766872;-47.8793288
1;57;27;4;17;49;SCS - QD 01;-15.7993464;-47.8866213
1;39;28;5;10;49;UNB áre 2, em frente o cesso o Centro Olímpico;-15.7533247;-47.8894441
1;38;28;5;13;49;EMI BL G;-15.7629208;-47.8876142
1;26;1;6;8;48;UNB áre 1, em frente o Instituto de rtes;-15.7622276;-47.8742526
1;24;1;6;14;48;UNB áre 1, em frente o Instituto de rtes;-15.7622276;-47.8742526
0;27;1;6;15;48;Eixo Monumentl Ldo Oeste, SDC, Estcionmento Vi de Ligção S1/N1;-15.7879172;-47.9028855
1;28;1;6;18;48;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
1;24;1;6;18;48;SQS 305;-15.8085221;-47.899365
0;39;1;6;18;48;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
0;28;1;6;19;48;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
1;26;1;6;19;48;SHS, QD. 06;-15.7926277;-47.8957922
1;23;1;6;20;48;SQS 305;-15.8085221;-47.899365
1;36;2;7;9;48;SHS, QD. 06;-15.7926277;-47.8957922
0;24;2;7;11;48;SHS, QD. 06;-15.7926277;-47.8957922
1;27;2;7;12;48;CLS 302;-15.800788;-47.8936363
1;21;2;7;14;48;UNB áre 1, em frente o Instituto de rtes;-15.7622276;-47.8742526
1;23;2;7;15;48;UNB áre 2, em frente o cesso o Centro Olímpico;-15.7533247;-47.8894441
1;40;2;7;18;48;Entrequdr 408/409 / Próximo o Supermercdo Big Box;-15.7594716;-47.8807764
0;5;2;7;19;48;Eixo Monumentl Ldo Oeste, SDC, Estcionmento Vi de Ligção S1/N1;-15.7879172;-47.9028855
0;21;2;7;19;48;SHS, QD. 06;-15.7926277;-47.8957922
0;40;2;7;19;48;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
1;28;2;7;20;48;SHS, QD. 06;-15.7926277;-47.8957922
1;40;3;1;8;48;Entrequadra Sul 204/205;-15.8122671;-47.8943173
0;37;3;1;11;48;Eixo Monumentl Ldo Oeste, SDC, Estcionmento Vi de Ligção S1/N1;-15.7879172;-47.9028855
1;29;3;1;12;48;UNB áre 2, em frente o cesso o Centro Olímpico;-15.7533247;-47.8894441
1;27;3;1;12;48;UNB áre 2, em frente o cesso o Centro Olímpico;-15.7533247;-47.8894441
1;42;3;1;12;48;SHS, QD. 06;-15.7926277;-47.8957922
0;40;3;1;15;48;SDC, Lote 5, Vi de Ligção N1/S1;-15.7898915;-47.8967584
0;23;3;1;15;48;CLN 403;-15.7797898;-47.8782012
1;23;3;1;15;48;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
1;32;3;1;16;48;SHS, QD. 06;-15.7926277;-47.8957922
0;47;3;1;17;48;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
0;40;3;1;19;48;EQS 102 / 103;-15.8046388;-47.8929846
0;25;3;1;19;48;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
1;25;3;1;21;48;UNB áre 2, em frente o cesso o Centro Olímpico;-15.7533247;-47.8894441
0;27;5;3;10;48;Prque Deck Sul, em frente o estcionmento e  cdemi o r livre;-15.8380081;-47.9035599
0;38;5;3;19;48;UNB áre 1, em frente o PT (Pvilhão nísio Teixeir);-15.7595709;-47.8705354
0;38;5;3;19;48;UNB áre 1, em frente o PT (Pvilhão nísio Teixeir);-15.7595709;-47.8705354
1;23;6;4;13;48;Eixo Monumentl Ldo Leste Pltform Inferior;-15.7814138;-47.8825954
0;37;7;5;10;48;UNB áre 1, em frente  Bibliotec Centrl - BCE;-15.7609071;-47.8699691
1;4;7;5;10;48;Entrequdr 410/411 / Próximo o Studios Center;-15.7533507;-47.882878
0;32;7;5;12;48;Eixo Monumentl Ldo Oeste, SDC, Estcionmento Vi de Ligção S1/N1;-15.7879172;-47.9028855
1;23;7;5;15;48;UNB áre 1, em frente o Instituto de rtes;-15.7622276;-47.8742526
1;47;7;5;15;48;CLN 204;-15.7766872;-47.8793288
1;20;7;5;17;48;SRTVS;-15.7974902;-47.8963643
1;51;7;5;19;48;CLN 204;-15.7766872;-47.8793288
1;27;8;6;11;48;CLN 204;-15.7766872;-47.8793288
1;31;8;6;13;48;SHS, QD. 06;-15.7926277;-47.8957922
